State,Year,Carbon_Emissions_MtCO2,GDP_BillionINR,Urbanization_Percent,Energy_Use_TWh
Andhra Pradesh,1980,0.1296207699422703,0.030098094601019615,0.2825184917914486,0.05294898749585039
Andhra Pradesh,1981,0.03492488757056741,0.100950452719407,0.2774670755908353,0.01651543653867434
Andhra Pradesh,1982,0.6224284757439479,0.30769339447427824,0.26646220458235614,0.31758326878388843
Andhra Pradesh,1983,0.03084234363537778,0.5203495622132792,0.3424138553130074,0.03646121500497952
Andhra Pradesh,1984,0.08493605077664021,0.5295089304723537,0.7528414216128451,0.09906495518424255
Andhra Pradesh,1985,0.14901285363442093,0.06426510089963056,0.2525708100306693,0.17049352661281397
Andhra Pradesh,1986,0.062609638631072,0.32191143092219837,0.4800649467797222,0.022905831581276976
Andhra Pradesh,1987,0.23359806079163076,0.2179479506605212,0.6009381201515425,0.16662055992032754
Andhra Pradesh,1988,0.6153159187318598,0.10534234998095643,0.654338805700884,0.4300376231050127
Andhra Pradesh,1989,0.7288616719293208,0.2225307743824177,0.29099765469962113,0.7327652982184353
Andhra Pradesh,1990,0.15118170509999043,0.06966245261423065,0.8049792531120331,0.06202279517539007
Andhra Pradesh,1991,0.09750263132714573,0.5045077678420581,0.6307053941908712,0.04799712293902843
Andhra Pradesh,1992,0.5580327241412304,0.24521099336113572,0.5520476276384628,0.3312769724466083
Andhra Pradesh,1993,0.7542180971517876,0.2224038171163904,0.5446509110589933,0.7079506473387187
Andhra Pradesh,1994,0.2995885561190317,0.3345528033322063,0.4122316435143424,0.1345026004204935
Andhra Pradesh,1995,0.5690683507160399,0.4203150855646842,0.5078477358830958,0.3831470620781232
Andhra Pradesh,1996,0.745606481038497,0.4999816530071507,0.09164712249684287,0.6302423370587585
Andhra Pradesh,1997,0.08838069722195643,0.34242886321443633,0.04600396896987191,0.03535465309284054
Andhra Pradesh,1998,0.5150703281982585,0.5298187689933074,0.6527151362078297,0.37653535465309285
Andhra Pradesh,1999,0.4802411252511721,0.4750485802861464,0.3669493054302724,0.2925473055217439
Andhra Pradesh,2000,0.7149236117755876,0.5554994571448586,0.6777918094894462,0.6766626092729888
Andhra Pradesh,2001,0.24903518004656655,0.24686516608541698,0.33700162366949304,0.26178488436428016
Andhra Pradesh,2002,0.2591458552610595,0.2085358452165269,0.7679956702146852,0.18994135221865663
Andhra Pradesh,2003,0.86090645233311,0.4181179595867747,0.1961031932166697,0.8908376673674893
Andhra Pradesh,2004,0.5730871049022421,0.4520646057466706,0.1675987732274941,0.270692707756999
Andhra Pradesh,2005,0.43380218798839026,0.13981546653459448,0.7550063142702507,0.28347349784220427
Andhra Pradesh,2006,0.6718655312091346,0.6672752243189685,0.6346743640627819,0.35351886688060197
Andhra Pradesh,2007,0.7182725735974228,0.32038166454515254,0.7681760779361356,0.5879993360628527
Andhra Pradesh,2008,0.22833540650017542,0.3830691202842587,0.7734079018581995,0.211297997122939
Andhra Pradesh,2009,0.35840270468535707,0.8362598585652888,0.8865235432076491,0.34972889233152593
Andhra Pradesh,2010,0.15717794150480016,0.4967292315474874,0.7651091466714776,0.11801482792962265
Andhra Pradesh,2011,0.4892354798583867,0.5370708348941359,0.4185459137651091,0.34889897089742167
Andhra Pradesh,2012,0.6541638758651483,0.21004657781489477,0.8149016777918093,0.6912692265132234
Andhra Pradesh,2013,0.7185277325933721,0.37451765559574457,0.5998556738228397,0.36336726789863893
Andhra Pradesh,2014,0.3869805122316844,0.6753873423017098,0.6889770882193758,0.22659621555826048
Andhra Pradesh,2015,0.7521130354352055,0.6773729382444145,0.13025437488724512,0.5733927188226181
Andhra Pradesh,2016,0.42573278474149207,0.14829805641572757,0.15009922424679778,0.41933163660506806
Andhra Pradesh,2017,0.3601888176570025,0.40963693950182134,0.2417463467436407,0.26457895319243113
Andhra Pradesh,2018,0.7207284789334353,0.6367911560822832,0.09038426844668956,0.5741119840655085
Andhra Pradesh,2019,0.20836921506713874,0.4658423143662056,0.10012628540501534,0.09118070156025229
Andhra Pradesh,2020,0.22297706758523905,0.4337804047444735,0.1641710265199351,0.12020028770609717
Andhra Pradesh,2021,0.42372340764839084,0.40856614228279375,0.13783149918816523,0.24482682306075026
Andhra Pradesh,2022,0.36385672822377446,0.33116655674823003,0.8006494677972217,0.2634723912802921
Andhra Pradesh,2023,0.6141677032500876,0.6731900200992779,0.26339527331769796,0.5855925639039504
Andhra Pradesh,2024,0.3570950148311166,0.2983489864905303,0.5253472848637921,0.2732101361071152
Arunachal Pradesh,1980,0.5629126399387617,0.5685466218673001,0.6583077755727944,0.46467301095496294
Arunachal Pradesh,1981,0.018849870825758293,0.09856181160758315,0.3148114739310842,0.03090074139648113
Arunachal Pradesh,1982,0.7609798105444454,0.4884866242573148,0.5349088941006676,0.7532920216886135
Arunachal Pradesh,1983,0.0362644722993015,0.2581928153176002,0.4705033375428468,0.01054000221312382
Arunachal Pradesh,1984,0.4486014097534526,0.3250967435951826,0.30434782608695654,0.3121887794622109
Arunachal Pradesh,1985,0.17385896086498898,0.13974168611415205,0.6949305430272416,0.19904282394599979
Arunachal Pradesh,1986,0.6795521959621088,0.3865805581135603,0.2807144145769439,0.4554332189886024
Arunachal Pradesh,1987,0.6523139731445156,0.5491566956810787,0.10950748692044021,0.4455848179705655
Arunachal Pradesh,1988,0.16878767582049561,0.08377531271811581,0.8250045101930362,0.08041938696470068
Arunachal Pradesh,1989,0.5118808407488916,0.612797017701218,0.3579289193577485,0.2770277747039947
Arunachal Pradesh,1990,0.19219851369884858,0.49692525984541824,0.6842864874616634,0.2116576297443842
Arunachal Pradesh,1991,0.7083851625043854,0.18014274549110387,0.7306512718744363,0.675971008077902
Arunachal Pradesh,1992,0.5246068956718655,0.07495364686218348,0.678874255818149,0.5346630518977536
Arunachal Pradesh,1993,0.7457978502854591,0.3214567787036741,0.15262493234710445,0.5340544428460773
Arunachal Pradesh,1994,0.10802793991005644,0.6832351458527064,0.23958145408623488,0.07568883479030651
Arunachal Pradesh,1995,0.01301310879341689,0.5319134657704963,0.518491791448674,0.02340378444173952
Arunachal Pradesh,1996,0.6951168947150191,0.2778445050167743,0.08461122136027421,0.31429124709527495
Arunachal Pradesh,1997,0.13957197078429495,0.35658822853014294,0.49558001082446335,0.06465087971672014
Arunachal Pradesh,1998,0.7710585908844447,0.4788276683640742,0.8379938661374707,0.4893770056434657
Arunachal Pradesh,1999,0.7063438905367907,0.4859227546469401,0.28720909254916116,0.5417450481354432
Arunachal Pradesh,2000,0.09418556437980416,0.20347678457863627,0.50568284322569,0.0331138652207591
Arunachal Pradesh,2001,0.35074793480687655,0.32463012168078864,0.5356305249864695,0.36621666482239684
Arunachal Pradesh,2002,0.6111695850476827,0.2419203081195942,0.6216850081183474,0.6546420272214231
Arunachal Pradesh,2003,0.49858067808503165,0.7625881465082927,0.728666786938481,0.5214119729998894
Arunachal Pradesh,2004,0.7184320479698911,0.41370781344463714,0.43496301641710267,0.406274206041828
Arunachal Pradesh,2005,0.6305616687398334,0.6332748126399205,0.43351975464549874,0.6306572977758106
Arunachal Pradesh,2006,0.7331036902369787,0.36859324481383493,0.6776114017679956,0.5378167533473498
Arunachal Pradesh,2007,0.1866488055369502,0.5657922182456233,0.5457333573876962,0.09640920659510899
Arunachal Pradesh,2008,0.774024814212356,0.5241209975348314,0.3241926754465091,0.7705543875179817
Arunachal Pradesh,2009,0.3216598092686505,0.40436222811375455,0.21288111131156418,0.28507801261480575
Arunachal Pradesh,2010,0.5912990782381271,0.7509430059987799,0.2565397799025798,0.32095828261591236
Arunachal Pradesh,2011,0.357445858450547,0.10450388259651353,0.28756990799206206,0.2189609383645015
Arunachal Pradesh,2012,0.6685803591362867,0.9007955530813825,0.15749594082626733,0.3949319464424034
Arunachal Pradesh,2013,0.17073326316460943,0.6999293395494647,0.5078477358830958,0.11325661170742501
Arunachal Pradesh,2014,0.5409689662871175,0.37055352779314327,0.26826628179686096,0.5712349230939471
Arunachal Pradesh,2015,0.14882148438745893,0.47711443205853454,0.8010102832401226,0.10075246210025451
Arunachal Pradesh,2016,0.8745255637419066,0.9132295161711573,0.5121775211979072,0.832300542215337
Arunachal Pradesh,2017,0.687717283832488,0.15550283220664485,0.8425040591737326,0.4571483899524178
Arunachal Pradesh,2018,0.7820942174592541,0.7358572647125714,0.5659390221901497,0.5218269337169416
Arunachal Pradesh,2019,0.69677542818869,0.2293715536841841,0.24156593902219015,0.6623049684629856
Arunachal Pradesh,2020,0.5299333397123082,0.2699851242189528,0.10553851704852968,0.5167367489211022
Arunachal Pradesh,2021,0.6765540777597039,0.2770311543712054,0.8435865055024355,0.5476374903175832
